result_id,athlete_id,competition_name,competition_level,event,date,position,time_seconds,season_best,personal_best,qualification_status
CR000001,A0001,Paralympic Trials,National,200m,2022-08-01,7,15.89,True,False,Participation
CR000002,A0001,National Championships,National,100m,2023-03-29,3,16.23,False,False,Qualified
CR000003,A0001,Masa Cup,Local,200m,2023-06-11,5,15.5,False,False,Finalist
CR000004,A0001,Independence Meet,Local,100m,2024-05-29,8,15.52,False,False,Finalist
CR000005,A0001,Independence Meet,Local,100m,2024-06-08,2,15.83,False,False,Qualified
CR000006,A0001,National Championships,National,100m,2024-11-16,5,16.3,False,False,Participation
CR000007,A0002,Southern Africa Games,Continental,200m,2020-09-02,1,13.28,True,False,Participation
CR000008,A0002,National Championships,National,100m,2020-10-09,4,13.47,True,False,Participation
CR000009,A0002,Southern Africa Games,Continental,200m,2020-10-10,2,13.15,False,False,Qualified
CR000010,A0002,Continental Series,Continental,100m,2021-07-27,1,14.06,True,False,Participation
CR000011,A0002,Paralympic Trials,National,200m,2021-12-04,7,13.79,False,False,Qualified
CR000012,A0002,World Para Athletics GP,World,100m,2022-07-04,3,13.99,True,False,Qualified
CR000013,A0002,Continental Series,Continental,200m,2023-01-07,1,13.57,True,False,Participation
CR000014,A0002,World Para Athletics GP,World,200m,2023-07-19,6,13.69,False,False,Participation
CR000015,A0002,Southern Africa Games,Continental,100m,2023-12-04,6,13.9,False,False,Participation
CR000016,A0002,World Para Athletics GP,World,200m,2024-01-14,2,13.79,False,False,Qualified
CR000017,A0002,World Para Athletics GP,World,100m,2024-02-21,4,13.69,False,True,Qualified
CR000018,A0002,National Championships,National,100m,2024-08-31,5,13.59,False,False,Finalist
CR000019,A0002,Southern Africa Games,Continental,100m,2024-12-27,6,13.98,False,False,Qualified
CR000020,A0003,Regional Open,Regional,100m,2020-01-16,1,15.2,False,False,Participation
CR000021,A0003,Masa Cup,Local,100m,2020-10-09,2,15.53,False,False,Finalist
CR000022,A0003,Kalahari Sprint Classic,Regional,100m,2020-12-29,5,15.34,False,False,Participation
CR000023,A0003,Botswana Nationals,National,100m,2021-06-17,1,15.53,False,False,Participation
CR000024,A0003,Botswana Nationals,National,100m,2021-08-20,6,15.46,False,False,Participation
CR000025,A0003,Kalahari Sprint Classic,Regional,100m,2022-10-17,3,15.7,False,False,Finalist
CR000026,A0003,Paralympic Trials,National,100m,2023-02-11,6,15.13,False,False,Participation
CR000027,A0003,Kalahari Sprint Classic,Regional,100m,2024-09-20,5,14.98,False,False,Participation
CR000028,A0004,Regional Open,Regional,400m,2022-01-04,6,65.18,False,False,Participation
