medal_id,athlete_id,competition_name,event,medal_type,competition_level,year
M000001,A0001,National Championships,100m,Bronze,National,2023
M000002,A0001,Independence Meet,100m,Silver,Local,2024
M000003,A0002,Southern Africa Games,200m,Gold,Continental,2020
M000004,A0002,Southern Africa Games,200m,Silver,Continental,2020
M000005,A0002,Continental Series,100m,Gold,Continental,2021
M000006,A0002,World Para Athletics GP,100m,Bronze,World,2022
M000007,A0002,Continental Series,200m,Gold,Continental,2023
M000008,A0002,World Para Athletics GP,200m,Silver,World,2024
M000009,A0003,Regional Open,100m,Gold,Regional,2020
M000010,A0003,Masa Cup,100m,Silver,Local,2020
M000011,A0003,Botswana Nationals,100m,Gold,National,2021
M000012,A0003,Kalahari Sprint Classic,100m,Bronze,Regional,2022
M000013,A0004,Kalahari Sprint Classic,400m,Bronze,Regional,2022
M000014,A0004,Paralympic Trials,400m,Bronze,National,2023
M000015,A0004,Independence Meet,400m,Bronze,Local,2024
M000016,A0005,Paralympic Trials,800m,Bronze,National,2020
M000017,A0005,Botswana Nationals,100m,Gold,National,2020
M000018,A0005,Botswana Nationals,100m,Bronze,National,2021
M000019,A0006,Independence Meet,200m,Gold,Local,2020
M000020,A0006,Independence Meet,200m,Bronze,Local,2020
M000021,A0006,Masa Cup,200m,Bronze,Local,2022
M000022,A0006,Botswana Nationals,200m,Silver,National,2023
M000023,A0006,Botswana Nationals,200m,Bronze,National,2024
M000024,A0006,Independence Meet,1500m,Silver,Local,2024
M000025,A0006,Paralympic Trials,200m,Bronze,National,2024
M000026,A0007,Botswana Nationals,200m,Gold,National,2020
M000027,A0007,Paralympic Trials,200m,Silver,National,2021
M000028,A0007,World Para Athletics GP,100m,Gold,World,2021
M000029,A0007,Continental Series,200m,Bronze,Continental,2021
M000030,A0007,Southern Africa Games,200m,Silver,Continental,2022
M000031,A0007,Botswana Nationals,200m,Silver,National,2022
M000032,A0007,Continental Series,200m,Silver,Continental,2022
M000033,A0007,Continental Series,200m,Bronze,Continental,2023
M000034,A0007,Continental Series,100m,Bronze,Continental,2024
M000035,A0007,National Championships,200m,Gold,National,2024
